Messort_Code;Messort_Name;Messort_Typ;Latitude;Longitude;Latitude_WGS84;Longitude_WGS84;X_LV95;Y_LV95;Messintervall;Gemeinde;Strasse_Nr;PLZ
88;Aesch-Nassenmatt;Schulhaus;47 20 12.4;8 26 03.2;47.33677778;8.434222222;2675244;1243357;Einmalige Messung;Aesch;NA;NA
89;Birmensdorf-Brüelmatt2;Schulhaus;47 21 16.1;8 26 24.9;47.35447222;8.44025;2675675;1245330;Einmalige Messung;Birmensdorf;NA;NA
90;Birmensdorf-Reppisch;Schulhaus;47 21 20.9;8 26 12.2;47.35580556;8.436722222;2675406;1245474;Einmalige Messung;Birmensdorf;NA;NA
91;Dietikon-Steinmürli;Schulhaus;47 24 15.8;8 23 41.0;47.40438889;8.394722222;2672168;1250836;Einmalige Messung;Dietikon;NA;NA
92;Dietikon-Wolfsmatt;Schulhaus;47 23 56.0;8 24 30.3;47.39888889;8.408416667;2673209;1250237;Einmalige Messung;Dietikon;NA;NA
93;Oberengstringen-Goldschmied;Schulhaus;47 24 27.6;8 27 54.7;47.40766667;8.465194444;2677482;1251268;Einmalige Messung;Oberengstringen;NA;NA
94;Oberengstringen-Gubrist;Schulhaus;47 24 32.3;8 27 52.9;47.40897222;8.464694444;2677442;1251412;Einmalige Messung;Oberengstringen;NA;NA
95;Oetwil-Geroldswil-Letten;Schulhaus;47 25 32.0;8 24 08.1;47.42555556;8.40225;2672707;1253196;Einmalige Messung;Oetwil;NA;NA
96;Schlieren-Grabenstrasse;Schulhaus;47 23 48.0;8 27 04.3;47.39666667;8.451194444;2676441;1250031;Einmalige Messung;Schlieren;NA;NA
97;Schlieren-Hofacker;Schulhaus;47 23 39.8;8 26 42.1;47.39438889;8.445027778;2675979;1249772;Einmalige Messung;Schlieren;NA;NA
98;Schlieren-Zelgli;Schulhaus;47 24 17.3;8 26 46.2;47.40480556;8.446166667;2676050;1250931;Einmalige Messung;Schlieren;NA;NA
99;Uitikon-Schwerzgrueb;Schulhaus;47 22 09.9;8 27 41.2;47.36941667;8.461444444;2677254;1247012;Einmalige Messung;Uitikon;NA;NA
100;Unterengstringen Büel A;Schulhaus;47 24 50.9;8 26 36.3;47.41413889;8.443416667;2675829;1251966;Einmalige Messung;Unterengstringen;NA;NA
101;Unterengstringen Büel B;Schulhaus;47 24 45.3;8 26 37.8;47.41258333;8.443833333;2675863;1251793;Einmalige Messung;Unterengstringen;NA;NA
102;Urdorf-Embri;Schulhaus;47 23 13.8;8 25 27.3;47.38716667;8.42425;2674420;1248949;Einmalige Messung;Urdorf;NA;NA
103;Urdorf-Feld 1;Schulhaus;47 23 10.6;8 25 27.0;47.38627778;8.424166667;2674415;1248850;Einmalige Messung;Urdorf;NA;NA
104;Urdorf-Weihermatt;Schulhaus;47 22 48.5;8 25 35.8;47.38013889;8.426611111;2674608;1248170;Einmalige Messung;Urdorf;NA;NA
105;Weiningen-Oberstufe;Schulhaus;47 25 07.3;8 25 45.0;47.41869444;8.429166667;2674747;1252459;Einmalige Messung;Weiningen;NA;NA
